name,description,email,web-site,fax,phone,phone2,schedules,verification
Rent Morocco Tours s.a.r.l,,rent.morocco.tours@gmail.com,,0661167136/0661748046,,0661167136/0661748046,7j/7 24h/24,
NEUTRE SERVICE,"NEUTRE SERVICE est l’une des meilleures Société de Nettoyage  à Casablanca  et partout au Maroc, spécialiste et reconnu dans le domaine de nettoyage professionnel et désinfection.
 NEUTRE SERVICE  sur Casablanca attache une grande importance à l’image de vos locaux et un vrai savoir-faire dans le secteur de nettoyage à Casablanca pour cela nous vous offrons des services de qualité et des prix attractifs, par un nombre de sites partout au Maroc.
NEUTRE SERVICE est spécialisée dans le nettoyage et l’entretien d’immeubles industriels, Pour exécuter tous les travaux de nettoyage (femme ménage, nettoyage vitres, nettoyage moquettes, parquet, bureau, fin de chantier, villa, appartement, résidences, immeubles ,hôtels, centres d’appel…) nous possédons un large parc matériel aux normes de sécurité qui contribuent à des prestations de qualité, exécutées par des agents de nettoyage formés aux nouvelles méthodologies, ainsi qu’aux règles d’hygiène et de sécurité, des locaux commerciaux et le nettoyage des bureaux.
NOS PRINCIPE SERVICES :
-SERVICES DE NETTOYAGE
-RÉNOVATION ET CRISTALLISATION DES SOLS EN MARBRE ET MOSAÏQUE 
-GARDIENNAGE ET SURVEILLANCE
-FOURNITURES COMMERCIAL ET INDUSTRIEL
-PRODUITS DE NETTOYAGE
-TRAVAUX DE REVÊTEMENT DE SOL ET MUR
-DÉRATISATION ET DÉSINSECTISATION  ET DÉSINFECTION DES SITES 
-GESTION IMMOBILIÈRE 

NEUTRE SERVICE c’est la société qui  met son expertise et ses compétences au service de tous vos projets depuis le renouvellement et le développement de l'immobilier et transforme votre maison et améliore votre espace de vie afin de créer un environnement sûr et confortable.
NEUTRE SERVICE  Respecte des délais de travail et nos coûts sont bien étudiés  et justifiants la qualité de  nos services.",neutreservice@gmail.com,http://www.neutreservice.com,+212522976038,+212522976038,+212684574587,du : 09:00  a 17:00,Vérifié
AMANDUS,"AMANDUS est une entreprise dynamique, spécialisée dans la sécurité et protection incendie, l’extinction, RIA et aussi la vidéosurveillance.

AMANDUS œuvre dans l’étude, la conception, la réalisation. Et aussi la Maintenance des installations de sécurité et protection incendie et de vidéosurveillance.

Nous mettons à votre disposition notre savoir faire dans ce domaine qui touche le tertiaire et l’industrielle. A savoir : Les études, la conception, la réalisation et la maintenance.

Nous nous somme assignés comme objectif de satisfaire nos clients à travers la qualité de nos prestations. En plus, on vous rassure par le dévouement à notre métier.

Notre patrimoine professionnel se résume dans les diverses réalisations, qui ont consolidé notre expérience et qui ont fait une liaison solide avec nos partenaires. C’est ce qui constituent notre force et notre réputation.",contact.amandus@gmail.com,https://amandus.ma/,0522355852,,,08H30 : 18:00,
opticki,,opticki@gmail.com,,0666663707,,0666663707,09h00/20h00,Vérifié
Afoulki design,"Nous utilisons les dernières technologies du web, les meilleures solutions innovatrices et créatives : Sites autogérés, sites catalogues, sites vitrines, sites E-commerces et bien sûr des présentations corporatives des plus professionnelles.

Notre objectif est de réaliser des sites en lignes riches en communication, capables de conquérir et de maintenir l’intérêt d’une cible diversifiée.",info@afoulki.com,http://www.afoulki.com,0528225500,,0663 13 20 21,Du lundi au vendredi de 08H:30 à 18H:30 et samedi de 08H:30 à 12H:30,Vérifié
Excursion Maroc,,excursionmaroc.kech@gmail.com,http://www.excursionmaroc.ma/,00 212 5 24 42 13 57,00 212 5 24 42 13 57,,,Vérifié
Heberdomaine.com,"Heberdomaine.com Sarl est un prestataire de services web présent sur le marché depuis 2004.
C'est un véritable outil de croissance pour votre entreprise qui vous permet de communiquer avec vos consommateurs ou fournisseurs.
Un site web vous permet également de faciliter l'amélioration de la fiabilité de votre entreprise et vos permettera d'augmenter votre chiffre d'affaires ...
En matière du codage des pages web, nous respectons les normes du W3C de sorte à approvisionner et à améliorer l'accessibilité de votre site web sur différents navigateurs web (FireFox, Internet Explorer, Google Chrome, Opera, Safari, ...) et sous différents systèmes d'exploitation (Windows, Linux, Mac OS...).",commercial@heberdomaine.com,http://www.hebedomaine.com,0528225500,,0663 13 20 21,Du lundi au vendredi de 08H:30 à 18H:30 et samedi de 08H:30 à 12H:30,Vérifié
AB POWER,,bouzekri.abpower@gmail.com,,00212660561998,,,,Vérifié
ain choch hay molay abdellah n27 rue 282,,woplsarl2018@gmail.com,,0662495018,0520171979,0662495018,9h - 17h,Vérifié
Webfibres,,contact@webfibres.com,https://webfibres.com/,0674226976,,0674226976,,Vérifié
Agile Systèmes,,inventisfes@gmail.com,http://www.agile.ma,+212 (0)701-121-131,,,,Vérifié
Moncrm.ma,"Nous sommes une équipe de professionnels, certifiés par Bitrix24. Notre équipe dispose des qualités requises pour réaliser l'intégration de votre CRM, nos consultants sont formés et certifier par l'éditeur pour vous garantir une meilleure qualité de prestation.

Qu'il s'agisse d'une petite intégration CRM, d'une personnalisation Bitrix24, d'un développement personnalisé ou de la formation de votre équipe, les consultants Moncrm.ma sont là pour vous.",seo@moncrm.ma,,0520477690,,,,Vérifié
OUTILMARKET,"Outilmarket est le spécialiste de la vente d’articles de bricolage, Jardinage, décoration intérieure et droguerie en ligne au Maroc. crée en 2019 avec pour objet de faciliter la fonction achat au citoyen marocain, en proposant un large choix de produits de très bon qualité à un prix raisonnable, livré chez vous, partout au Maroc, sans avoir à se déplacer.
De plus, outilmarket vous accompagne dans vos choix vous conseille et vous assiste lors de votre achat pour mener à bien votre projet. Avec nous, la fidélisation est au rendez-vous.

Notre Mission:
Outilmarklet a été crée dans le but de mettre à votre disposition avec la collaboration de nos meilleurs partenaires et fournisseurs une large choix de produits soigneusement sélectionnés en bricolage, jardinage et piscine, maison et déco, outillage et matériels professionnels, …etc, à des prix réduits.

Notre équipe:
Outilmarket s’appuie sur une équipe jeune, dynamique et surtout professionnelle dédiée pour assister et conseiller nos clients.",outilmarket@energiedin.ma,https://outilmarket.ma/,05 22 07 43 11 /  06 14 36 36 86,,,,
TAQA FREE,,y.moubachir.agri@ta9a.ma,https://ta9a.ma/,+212671726055,,+212671726077,,Vérifié
CASA HARDWARE,,elalaouiyassine123@gmail.com,http://www.casa-hardware.com,0760457591,,0760457591,,Vérifié
CASA HARDWARE,,yacine.elalaoui@kedgebs.com,http://www.casa-hardware.com,0760457591,,0760457591,,Vérifié
ANAMOUDAJ,,contact@yakogan.com,https://www.anamoudaj.com,0549297561300,,,,Vérifié
NPS GROUP: Solutions industrielles,"NPS GROUP depuis sa création a pu accompagner ses partenaires professionnels dans les divers processus de fourniture industrielle relevant de nouveaux projets ou en matière de pièces de rechange de chantiers opérationnels.
Nous sommes fier de pouvoir participer à l écosystème industriel marocain qui ne cesse de monter en échelle et nous serons honorés de répondre à toute nouvelle demande de collaboration en tout ce qui est outillage professionnel d'atelier, fourniture industrielle, pièces de rechange pour le secteur automobile à savoir les pièces mécaniques, pneumatiques, outils de manutention.
Nous fournissons également des solutions sur mesure provenant des usines de nos partenaires européens en matière d'équipement automobile, aéronautique et protection individuelle de chantier.",infodevis@bricobay.ma,http://Www.bricobay.ma,0708071108,,,,Vérifié
opticki,,opticki@gmail.com,,0666663707,,0666663707,09h00/20h00,Vérifié
NEUTRE SERVICE,"NEUTRE SERVICE est l’une des meilleures Société de Nettoyage  à Casablanca  et partout au Maroc, spécialiste et reconnu dans le domaine de nettoyage professionnel et désinfection.
 NEUTRE SERVICE  sur Casablanca attache une grande importance à l’image de vos locaux et un vrai savoir-faire dans le secteur de nettoyage à Casablanca pour cela nous vous offrons des services de qualité et des prix attractifs, par un nombre de sites partout au Maroc.
NEUTRE SERVICE est spécialisée dans le nettoyage et l’entretien d’immeubles industriels, Pour exécuter tous les travaux de nettoyage (femme ménage, nettoyage vitres, nettoyage moquettes, parquet, bureau, fin de chantier, villa, appartement, résidences, immeubles ,hôtels, centres d’appel…) nous possédons un large parc matériel aux normes de sécurité qui contribuent à des prestations de qualité, exécutées par des agents de nettoyage formés aux nouvelles méthodologies, ainsi qu’aux règles d’hygiène et de sécurité, des locaux commerciaux et le nettoyage des bureaux.
NOS PRINCIPE SERVICES :
-SERVICES DE NETTOYAGE
-RÉNOVATION ET CRISTALLISATION DES SOLS EN MARBRE ET MOSAÏQUE 
-GARDIENNAGE ET SURVEILLANCE
-FOURNITURES COMMERCIAL ET INDUSTRIEL
-PRODUITS DE NETTOYAGE
-TRAVAUX DE REVÊTEMENT DE SOL ET MUR
-DÉRATISATION ET DÉSINSECTISATION  ET DÉSINFECTION DES SITES 
-GESTION IMMOBILIÈRE 

NEUTRE SERVICE c’est la société qui  met son expertise et ses compétences au service de tous vos projets depuis le renouvellement et le développement de l'immobilier et transforme votre maison et améliore votre espace de vie afin de créer un environnement sûr et confortable.
NEUTRE SERVICE  Respecte des délais de travail et nos coûts sont bien étudiés  et justifiants la qualité de  nos services.",neutreservice@gmail.com,http://www.neutreservice.com,+212522976038,+212522976038,+212684574587,du : 09:00  a 17:00,Vérifié
AMANDUS,"AMANDUS est une entreprise dynamique, spécialisée dans la sécurité et protection incendie, l’extinction, RIA et aussi la vidéosurveillance.

AMANDUS œuvre dans l’étude, la conception, la réalisation. Et aussi la Maintenance des installations de sécurité et protection incendie et de vidéosurveillance.

Nous mettons à votre disposition notre savoir faire dans ce domaine qui touche le tertiaire et l’industrielle. A savoir : Les études, la conception, la réalisation et la maintenance.

Nous nous somme assignés comme objectif de satisfaire nos clients à travers la qualité de nos prestations. En plus, on vous rassure par le dévouement à notre métier.

Notre patrimoine professionnel se résume dans les diverses réalisations, qui ont consolidé notre expérience et qui ont fait une liaison solide avec nos partenaires. C’est ce qui constituent notre force et notre réputation.",contact.amandus@gmail.com,https://amandus.ma/,0522355852,,,08H30 : 18:00,
opticki,,opticki@gmail.com,,0666663707,,0666663707,09h00/20h00,Vérifié
Excursion Maroc,,excursionmaroc.kech@gmail.com,http://www.excursionmaroc.ma/,00 212 5 24 42 13 57,00 212 5 24 42 13 57,,,Vérifié
Afoulki design,"Nous utilisons les dernières technologies du web, les meilleures solutions innovatrices et créatives : Sites autogérés, sites catalogues, sites vitrines, sites E-commerces et bien sûr des présentations corporatives des plus professionnelles.

Notre objectif est de réaliser des sites en lignes riches en communication, capables de conquérir et de maintenir l’intérêt d’une cible diversifiée.",info@afoulki.com,http://www.afoulki.com,0528225500,,0663 13 20 21,Du lundi au vendredi de 08H:30 à 18H:30 et samedi de 08H:30 à 12H:30,Vérifié
Heberdomaine.com,"Heberdomaine.com Sarl est un prestataire de services web présent sur le marché depuis 2004.
C'est un véritable outil de croissance pour votre entreprise qui vous permet de communiquer avec vos consommateurs ou fournisseurs.
Un site web vous permet également de faciliter l'amélioration de la fiabilité de votre entreprise et vos permettera d'augmenter votre chiffre d'affaires ...
En matière du codage des pages web, nous respectons les normes du W3C de sorte à approvisionner et à améliorer l'accessibilité de votre site web sur différents navigateurs web (FireFox, Internet Explorer, Google Chrome, Opera, Safari, ...) et sous différents systèmes d'exploitation (Windows, Linux, Mac OS...).",commercial@heberdomaine.com,http://www.hebedomaine.com,0528225500,,0663 13 20 21,Du lundi au vendredi de 08H:30 à 18H:30 et samedi de 08H:30 à 12H:30,Vérifié
Agence 47,,contact@agence47.ma,http://www.agence47.ma,0777640757,,,,Vérifié
AMANDUS,"AMANDUS est une entreprise dynamique, spécialisée dans la sécurité et protection incendie, l’extinction, RIA et aussi la vidéosurveillance.

AMANDUS œuvre dans l’étude, la conception, la réalisation. Et aussi la Maintenance des installations de sécurité et protection incendie et de vidéosurveillance.

Nous mettons à votre disposition notre savoir faire dans ce domaine qui touche le tertiaire et l’industrielle. A savoir : Les études, la conception, la réalisation et la maintenance.

Nous nous somme assignés comme objectif de satisfaire nos clients à travers la qualité de nos prestations. En plus, on vous rassure par le dévouement à notre métier.

Notre patrimoine professionnel se résume dans les diverses réalisations, qui ont consolidé notre expérience et qui ont fait une liaison solide avec nos partenaires. C’est ce qui constituent notre force et notre réputation.",contact.amandus@gmail.com,https://amandus.ma/,0522355852,,,08H30 : 18:00,
"Beauséjour:294 Boulevard Yacoub El Mansour, immeuble espace anfa 1er étage","Oasis de la connaissance cabinet de Formations accélérée Casablanca vous propose une formation accélérée pour les particuliers et les entreprises en individuel ou en groupe, Oasis connaissance cabinet de formation est éligible aux CSF (Contrats Spéciaux de Formation) de l’OFPPT (Office de la Formation Professionnelle et de la Promotion du Travail) en tant qu’Organisme de Formation professionnelle

Formation continue Informatique Formation continue Maroc
Bureautique : Excel, Word, PowerPoint, Excel Macros VBA, Access, Outlook, SharPoint
Création des sites web : PHP, ASP, HTML, JavaScript, wordpress, joomla, prestashop, Magento, struts, Laravel, Bootstrap, Hibernate, Spring, Cakephp, Référencement
Développement informatique: J2E,  JAVA,  Android,  VB,net, Oracle,  SQL server, UML,  Merise, Algorithme,  C C++, Zend 
Power BI, Business Intelligence Sécurité informatique, linux, Réseau informatique
formation continu Dessin industriel
Bâtiment : Revit architecture, Revit Structure, Revit MEP, Autocad architecture, Sketchup, 3Ds max, Archicad, Tekla, Artlantis, Métré, béton, Twinmotion, lumoion, Rhinoceros, vray, autofluid, MS PROJECT BTP
Génie Civil : Autocad civil 3D, Covadis, Robot
électrique : Autocad électrique, Caneco, Rapsodie, Dialux, Dialux EVO, Naviswork
Mécanique : Autocad mécanique, catia, inventor, solidworks, ArtCAM, MasterCAM, cnc simulator
paysagiste – Décoration d’intérieur – Cinéma 4D – fusion 360
formation continu Infographie Montage vidéo 
Infographie : Photoshop, Illustrator, Indesign
Montage vidéo :  Adobe première, After effect, Final Cut Pro, pinnacle studio
Multimédia – designer
formation continu Commerce Marketing
Commerce : Techniques de vente, Force de vente, Prospection commercial, Entretien de vente, négociation commerciale, Gestion Commerciale, téléconseiller
Marketing ; webmarketing, stratégie commerciale, approche client
GRH : gestion des compétences, Formation, recrutement, administration du personnel
finance comptabilité : finance, Comptabilité, comptabilité générale,  fiscalité, management, Audit et contrôle de gestion, sage Comptabilité, sage commerciale, Sage Paie, Sage, contrôle de gestion, audit
Gestion stock – Recouvrement – transport et la logistique – commerce international – entrepreneuriat – Assurance",oasisconnaissance2@gmail.com,,0522 36 20 72,,,9h-21h,Vérifié
Univet com maroc,,univet.maroc@gmail.com,https://univetcom.business.site,0663026119,,0663026119,9:00 / 18:00,Vérifié
J'AIME ARDI,,ardijaime1@gmail.com,http://www.jaimeardi.com,0673914919,,0673914919,08:00-17:00,Vérifié
KIFAH NEGOCE COMPANY SARL  KIFAH PLACO PLATRE,"Nous sommes une entreprise spécialisée dans la décoration en plâtre, précisément le Placoplâtre. Faux Plafond Modulaire , Faux Plafond en Plâtre moderne , Séparation en BA 13 et machine à projeter mortier de plâtre à base de ciment. SACHANT QUE NOS PRODUITS SONT DE HAUTE GAMME ET A LA BASE DE (CMPE) AL GHAZALA , La Compagnie Marocaine de Plâtre et d’Enduit est 1er producteur national et 1er exportateur du Royaume vers les marchés : d’Europe (Espagne, Portugal, Danemark), d’Afrique (Sénégal, Côte d’Ivoire, Gabon, Guinée, Burkina-Faso, Togo, Nigéria), d’Asie (Japon). Depuis 2006, notre Mâallem Mustapha KEFFAH, connu pour sa persévérance, sa maîtrise et son souci de finition, chapeaute tout le projet jusqu'à donner naissance à cette société légale intègrant ainsi le circuit formel et professionnel. Comptant sur votre soutien précieux et votre réseau professionnel pour une future collaboration, Notre équipe dédiée est disponible pour prendre en charge vos travaux en respectant les délais sans sacrifier pour autant la qualité du rendu final, notre clé ultime pour vous satisfaire.",contact@kifah.ma,http://kifah.ma,0660284439,,0660328416,du 8H30 a 18H00,Vérifié
Nombre d'Or,"Nombre d'Or studio de déco et design  implanté à Casablanca est spécialisé dans la communication et l'aménagement d'espace nos domaine d'activité :  
Décoration & aménagement : 
• Graphique et design maquette en 3D,  aménagement  et restauration d'espace résidentiel et professionnel, conception et réalisation de présentoir. .......
conception & Création 
Image de marque , Dessin et illustration ........
Production Imprimée
Impression numérique et grand format, Affichage, documents commerciaux, packaging, Objets promotionnels personnalisés .......
Marquage : habillage (véhicule, façade, palissade ....
Media & web
Stratégie et compagne publicitaire , Community management  (animation sur réseaux sociaux)......
Événementiel
Aménagement : Salon, stand, showroom, Animation artistique, Supports événementiels .......
Photographie culinaire",nombredor.ak@gmail.com,http://www.nombredor.ma,0522319914,,0662458050,,Vérifié
Arcadis,"""ARCADIS est un Bureau d’Études Techniques (BET) pluridisciplinaire spécialisé dans le bâtiment et infrastructures: Calcul des structures (Béton Armé, Bois, Métal et mixte ), Fluides (Climatisation, Plomberie, Désenfumage.. ), Électricité ( CFO/ CFA ), VRD et Routes. Nous intervenons dans toutes les étapes de réalisation d'un projet: - Conception et études techniques du projet. - Maîtrise d’oeuvre. - Elaboration des cahiers des charges et plans d’exécution. - Etablissement des dossiers de consultation des entreprises, (DCE). - Estimation du coût du projet. - Suivi et direction des travaux. - Pilotage et maîtrise de l’ouvrage délégué.""",arcadismaroc.ing@gmail.com,,0528292035,,,,Vérifié
NEUTRE SERVICE,"NEUTRE SERVICE est l’une des meilleures Société de Nettoyage  à Casablanca  et partout au Maroc, spécialiste et reconnu dans le domaine de nettoyage professionnel et désinfection.
 NEUTRE SERVICE  sur Casablanca attache une grande importance à l’image de vos locaux et un vrai savoir-faire dans le secteur de nettoyage à Casablanca pour cela nous vous offrons des services de qualité et des prix attractifs, par un nombre de sites partout au Maroc.
NEUTRE SERVICE est spécialisée dans le nettoyage et l’entretien d’immeubles industriels, Pour exécuter tous les travaux de nettoyage (femme ménage, nettoyage vitres, nettoyage moquettes, parquet, bureau, fin de chantier, villa, appartement, résidences, immeubles ,hôtels, centres d’appel…) nous possédons un large parc matériel aux normes de sécurité qui contribuent à des prestations de qualité, exécutées par des agents de nettoyage formés aux nouvelles méthodologies, ainsi qu’aux règles d’hygiène et de sécurité, des locaux commerciaux et le nettoyage des bureaux.
NOS PRINCIPE SERVICES :
-SERVICES DE NETTOYAGE
-RÉNOVATION ET CRISTALLISATION DES SOLS EN MARBRE ET MOSAÏQUE 
-GARDIENNAGE ET SURVEILLANCE
-FOURNITURES COMMERCIAL ET INDUSTRIEL
-PRODUITS DE NETTOYAGE
-TRAVAUX DE REVÊTEMENT DE SOL ET MUR
-DÉRATISATION ET DÉSINSECTISATION  ET DÉSINFECTION DES SITES 
-GESTION IMMOBILIÈRE 

NEUTRE SERVICE c’est la société qui  met son expertise et ses compétences au service de tous vos projets depuis le renouvellement et le développement de l'immobilier et transforme votre maison et améliore votre espace de vie afin de créer un environnement sûr et confortable.
NEUTRE SERVICE  Respecte des délais de travail et nos coûts sont bien étudiés  et justifiants la qualité de  nos services.",neutreservice@gmail.com,http://www.neutreservice.com,+212522976038,+212522976038,+212684574587,du : 09:00  a 17:00,Vérifié
INDICAC Audit & Conseil,,i.kanoun@indicac.ma,http://www.indicac.ma,0661388752,,,,Vérifié
FORUM DIFFUSION,"FORUM DIFFUSION vous propose un large choix de produits spécialement conçus pour l’aménagement des espaces de travail professionnels : Mobilier d’accueil - Mobilier de réunion - Mobilier de collectivité - Mobilier scolaire - Bureaux et postes informatiques - Sièges, fauteuils, chaises - Meubles de rangements - Séparation d’espace.
Notre objectif principal est de créer des espaces propices à la détente et à la convivialité avec des couleurs chaleureuses et dynamiques pour avoir une ambiance douce et personnalisée.
De la prise de commande jusqu’au montage du meuble, FORUM DIFFUSION s’occupe de tout pour vous aider à créer un cadre de travail agréable et productif, tout en optimisant l’espace.",marketing@forumdiffusion.ma,http://www.forumdiffusion.ma,+212 5 37 77 71 07,+212 5 37 77 73 07,+212 6 61 29 68 37,Lundi : 8h - 17h15 / Du Mardi au Vendredi : 8h30 - 17h15 / Samedi : 9h - 13h,Vérifié
STE SIDAPRA SARL,,belkadi921@gmail.com,https://sidapra.business.site/,0528233252,,0666912790,,Vérifié
